first_name,last_name,bu_email,phone_num,role,Fill In UID from auth/users,avatar_path,notifications
John,Smith,jsmith@bu.edu,775-555-0103,student,Fill In UID from auth/users,,TRUE
Jane,Doe,jdoe@bu.edu,775-555-0104,student,Fill In UID from auth/users,,TRUE
Mike,Johnson,mjohnson@bu.edu,775-555-0105,student,Fill In UID from auth/users,,TRUE
Sarah,Brown,sbrown@bu.edu,775-555-0110,student,Fill In UID from auth/users,,TRUE
David,Miller,dmiller@bu.edu,775-555-0101,student,Fill In UID from auth/users,,TRUE
Admin,Account,admin4@bu.edu,19999999999,admin,Fill In UID from auth/users,avatars/437803f4-0027-4749-b863-09233eb83b40/437803f4-0027-4749-b863-09233eb83b40_1745729774440.webp,TRUE
User,Account,user@bu.edu,11111111111,student,Fill In UID from auth/users,,TRUE
Emily,Davis,edavis@bu.edu,775-555-0116,student,Fill In UID from auth/users,,TRUE
Chris,Wilson,cwilson@bu.edu,775-555-0106,faculty,Fill In UID from auth/users,,TRUE
Laura,Moore,lmoore@bu.edu,775-555-0109,student,Fill In UID from auth/users,,TRUE
James,Taylor,jtaylor@bu.edu,775-555-0115,student,Fill In UID from auth/users,,TRUE
Anna,Anderson,aanderson@bu.edu,775-555-0107,student,Fill In UID from auth/users,,TRUE
Brian,Thomas,bthomas@bu.edu,775-555-0112,student,Fill In UID from auth/users,,TRUE
Megan,Lee,mlee@bu.edu,775-555-0108,student,Fill In UID from auth/users,,TRUE
Admin,Account,admin3@bu.edu,19999999999,admin,Fill In UID from auth/users,avatars/948f93c2-4ab1-4603-9f29-74f7b3ec60df/948f93c2-4ab1-4603-9f29-74f7b3ec60df_1745729360096.webp,TRUE
Kevin,Harris,kharris@bu.edu,775-555-0111,student,Fill In UID from auth/users,,TRUE
Admin ,Account,admin2@bu.edu,19999999999,admin,Fill In UID from auth/users,avatars/9f17e11e-b5e8-471e-9d4f-8e8933a1f926/9f17e11e-b5e8-471e-9d4f-8e8933a1f926_1745728928520.webp,TRUE
Rachel,Clark,rclark@bu.edu,775-555-0117,student,Fill In UID from auth/users,,TRUE
Daniel,Lewis,dlewis@bu.edu,775-555-0118,student,Fill In UID from auth/users,,TRUE
Admin,Account,admin1@bu.edu,19999999999,admin,Fill In UID from auth/users,avatars/bdd6ec91-8717-4fd5-b20e-86bd9e8c8e37/bdd6ec91-8717-4fd5-b20e-86bd9e8c8e37_1745727106208.webp,TRUE
Olivia,Hall,ohall@bu.edu,775-555-0119,student,Fill In UID from auth/users,,TRUE
Justin,Young,jyoung@bu.edu,775-555-0100,student,Fill In UID from auth/users,,TRUE
Natalie,King,nking@bu.edu,775-555-0113,student,Fill In UID from auth/users,,TRUE
Ryan,Scott,rscott@bu.edu,775-555-0102,student,Fill In UID from auth/users,,TRUE
Samantha,Adams,sadams@bu.edu,775-555-0114,student,Fill In UID from auth/users,,TRUE
